ruta,vattendist,namn,strandtyp,kusttyp,urvalsklass,provyta,pyid,exponering,transektlen,transektriktning,easting,northing,longitud,latitud
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,857,20217999857,6-Mod exponerat,10,123,731736.604160563,7042375.85459279,19.6471873758511,63.4341612651598
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,860,20217999860,6-Mod exponerat,10,123,731731.878172182,7042333.32069736,19.6470312079515,63.4337838635915
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,862,20217999862,6-Mod exponerat,10,123,731722.426195421,7042290.78680194,19.6467806468484,63.433409535152
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,865,20217999865,6-Mod exponerat,10,123,731710.611224469,7042248.25290651,19.6464828943069,63.4330367427688
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,867,20217999867,6-Mod exponerat,10,123,731712.97421866,7042205.71901109,19.6464683350307,63.4326547307016
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,869,20217999869,6-Mod exponerat,10,123,731703.522241898,7042163.18511566,19.6462177917114,63.4322804010952
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,870,20217999870,6-Mod exponerat,10,123,731691.707270947,7042118.28822605,19.6459166283735,63.4318864697963
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,873,20217999873,6-Mod exponerat,10,123,731705.885236089,7042082.84331319,19.6461483477382,63.4315601882845
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,874,20217999874,6-Mod exponerat,10,123,731727.152183802,7042047.39840034,19.6465216475625,63.4312292968692
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,876,20217999876,6-Mod exponerat,10,123,731757.871108275,7042016.67947587,19.6470905795527,63.4309345327971
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,877,20217999877,6-Mod exponerat,10,123,731826.397939794,7041983.5975572,19.6484111734367,63.4305940365008
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,899,20217999899,6-Mod exponerat,10,123,731790.95302694,7041995.41252815,19.6477204201719,63.430722779619
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,957,20217999957,6-Mod exponerat,10,123,731956.36262026,7041917.43371987,19.6509106878631,63.4299176220052
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,960,20217999960,6-Mod exponerat,10,123,731987.081544734,7041936.33767339,19.6515516670332,63.4300667261087
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,962,20217999962,6-Mod exponerat,10,123,732015.437475018,7041955.24162692,19.6521454596409,63.4302173656731
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,965,20217999965,6-Mod exponerat,10,123,732048.519393682,7041967.05659787,19.6528233393619,63.4303015134812
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,967,20217999967,6-Mod exponerat,10,123,732079.238318156,7041981.23456301,19.6534574653324,63.4304083341933
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,969,20217999969,6-Mod exponerat,10,123,732117.046225201,7041995.41252815,19.6542331764379,63.4305105348857
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,970,20217999970,6-Mod exponerat,10,123,732150.128143865,7041983.5975572,19.6548767008485,63.430383299847
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,973,20217999973,6-Mod exponerat,10,123,732183.210062529,7041983.5975572,19.6555374056588,63.4303617482765
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,974,20217999974,6-Mod exponerat,10,123,732218.654975383,7041978.87156882,19.6562384268936,63.4302963794397
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,976,20217999976,6-Mod exponerat,10,123,732256.462882428,7041974.14558044,19.6569866376456,63.4302294672125
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,977,20217999977,6-Mod exponerat,10,123,732291.907795283,7041969.41959206,19.6576876520623,63.4301640913155
7999,1,Övningsytor,klippa/häll,fastland,01_klippstränder,999,20217999999,6-Mod exponerat,10,123,732327.352708137,7041962.33060949,19.6583852238326,63.4300775748244
